id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kode_kelurahan,nama_kelurahan,jenis_kelamin,jumlah_penduduk,satuan,tahun
154,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010008,KARANGANYAR,PEREMPUAN,4881,JIWA,2016
155,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010009,CILAMAJANG,LAKI-LAKI,4173,JIWA,2016
156,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010009,CILAMAJANG,PEREMPUAN,3909,JIWA,2016
157,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010010,KARSAMENAK,LAKI-LAKI,8297,JIWA,2016
158,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010010,KARSAMENAK,PEREMPUAN,8064,JIWA,2016
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020001,SETIAMULYA,LAKI-LAKI,3925,JIWA,2016
160,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020001,SETIAMULYA,PEREMPUAN,3689,JIWA,2016
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020002,SETIAWARGI,LAKI-LAKI,6002,JIWA,2016
162,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020002,SETIAWARGI,PEREMPUAN,5594,JIWA,2016
163,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020003,TAMANSARI,LAKI-LAKI,4643,JIWA,2016
164,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020003,TAMANSARI,PEREMPUAN,4480,JIWA,2016
165,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020004,TAMANJAYA,LAKI-LAKI,5072,JIWA,2016
166,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020004,TAMANJAYA,PEREMPUAN,4796,JIWA,2016
167,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020005,MULYASARI,LAKI-LAKI,7753,JIWA,2016
168,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020005,MULYASARI,PEREMPUAN,7276,JIWA,2016
169,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020006,SUKAHURIP,LAKI-LAKI,4318,JIWA,2016
170,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020006,SUKAHURIP,PEREMPUAN,4033,JIWA,2016
171,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020007,MUGARSARI,LAKI-LAKI,2764,JIWA,2016
172,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020007,MUGARSARI,PEREMPUAN,2558,JIWA,2016
173,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020008,SUMELAP,LAKI-LAKI,2740,JIWA,2016
174,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020008,SUMELAP,PEREMPUAN,2629,JIWA,2016
175,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,3278030001,CIHERANG,LAKI-LAKI,4005,JIWA,2016
176,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,3278030001,CIHERANG,PEREMPUAN,3875,JIWA,2016
177,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,3278030002,CIAKAR,LAKI-LAKI,3038,JIWA,2016
